dim_0,dim_1,epoch,character
0.43715855,0.3700611,0, 
1.581573,-0.15563966,0,e
0.15109134,-1.3494922,0,t
-0.7089445,-0.243382,0,a
-0.03887383,1.0809842,0,o
0.90879077,0.0788743,0,n
-0.08952116,0.1713729,0,i
-0.15746896,1.9800397,0,r
0.75730693,-0.42737582,0,s
-1.5917616,-0.07361122,0,h
-1.9979472,0.09059091,0,l
0.982176,0.068138056,0,d
-0.09955664,0.80334395,0,c
1.044137,-0.52012765,0,u
0.8058817,1.0866966,0,m
0.25927034,1.8513728,0,f
1.2093185,1.5929683,0,p
0.5640137,-0.6749199,0,g
0.091413766,0.39475566,0,y
1.5457104,-0.36096054,0,w
-0.27226314,0.62785715,0,b
-1.9770651,0.30201632,0,.
-1.0226368,-0.74714863,0,","
-0.5051301,0.4635841,0,v
0.07122043,-1.2177619,0,k
1.0489852,-0.98672575,0,'
0.62634057,-1.739613,0,T
-1.1493645,-0.8489328,0,-
0.6009858,-1.5412188,0,S
1.0329226,-0.8812986,0,M
0.3829615,1.4596353,0,`
1.0305423,0.8792528,0,C
0.32856736,-0.074202634,0,A
0.14140496,-1.2538062,0,1
-0.95538443,1.0691961,0,0
1.1713247,-0.248284,0,B
0.0063628894,0.23263441,0,H
0.95270425,-0.4139318,0,P
1.1716223,1.6208951,0,x
0.7747581,-0.23497152,0,I
-0.27529758,-0.13301834,0,W
0.026622228,0.23825394,0,D
0.43962663,-1.159601,0,R
0.09952423,1.708459,0,F
1.8984557,-0.6291782,0,L
-0.21173386,-1.9887606,0,G
0.360546,-1.2416636,0,J
-1.3239378,0.9785102,0,2
-0.7284106,0.37546638,0,N
-0.19037521,0.8099748,0,5
0.9298468,0.18676203,0,j
0.5845764,0.3041664,0,9
1.4423637,1.34799,0,E
0.97064185,-0.7726748,0,O
-1.079995,-0.3143241,0,q
-0.73074937,0.4438162,0,K
-0.3350334,-1.1513637,0,3
-0.34511402,-1.8816322,0,6
1.871529,-0.24930492,0,z
0.10502059,-0.7197165,0,;
0.004619459,-0.2136181,0,4
-0.327063,-1.445109,0,U
1.6749991,-0.9074433,0,7
-0.49681765,1.0563092,0,8
1.4613357,-0.07701435,0,$
-1.0376238,0.07800276,0,:
0.068419866,-0.90691715,0,)
0.75574756,0.72678375,0,(
-0.95677423,-1.1259103,0,Y
0.0,0.0,0,~
1.3489834,1.4765649,1, 
1.933124,-0.49800187,1,e
0.6197679,-1.7923912,1,t
1.1333259,0.2852776,1,a
-0.2792717,1.0411829,1,o
1.088947,-0.52810794,1,n
0.9101188,0.59790266,1,i
-0.096501045,-0.04494389,1,r
1.1564045,-0.9259972,1,s
-1.506286,0.8141172,1,h
-1.4421257,0.9330604,1,l
0.5458668,-0.81844145,1,d
-0.40933114,0.065418705,1,c
0.9841744,0.53004175,1,u
-0.73876715,0.1301243,1,m
-0.44685057,0.18869801,1,f
-0.16708288,0.020752082,1,p
0.51007235,-0.9451471,1,g
1.2,-1.3092734,1,y
-0.020420743,-1.0498116,1,w
-1.2061597,0.5802742,1,b
-1.7324489,-0.9993097,1,.
-1.3320748,-0.34013107,1,","
-0.53687483,-0.17515323,1,v
0.30730337,-0.7605757,1,k
1.6774718,-0.6742077,1,'
0.9488576,-1.7589723,1,T
-0.09870757,0.45119533,1,-
1.1810052,-0.7927509,1,S
0.37694588,-0.17329681,1,M
-1.1552584,1.2943666,1,`
0.42501178,-0.5311594,1,C
1.3729839,0.82754725,1,A
-0.50069,-1.9363132,1,1
-1.8495029,0.6383595,1,0
0.097565606,0.036570624,1,B
-0.8987196,0.25315973,1,H
0.3320262,-0.26864815,1,P
1.9794492,0.28597417,1,x
1.2954181,0.47878057,1,I
0.5472869,-0.6753855,1,W
0.031158794,-0.035304956,1,D
0.5583339,-0.525896,1,R
-0.066402406,0.16470633,1,F
0.6769876,-0.49184996,1,L
0.32506853,-0.2936982,1,G
0.4795337,-0.39920884,1,J
-1.9700752,0.34467787,1,2
-0.9704731,0.3036287,1,N
-1.7089559,0.29419988,1,5
-0.48466656,0.10671353,1,j
0.3081804,1.1704366,1,9
1.7836027,0.8820068,1,E
1.6926774,-0.4871296,1,O
-0.5797649,0.41841415,1,q
-0.009717444,0.026442839,1,K
-0.57650197,-1.3319283,1,3
-0.50139433,-1.6491628,1,6
0.38293624,-1.1949865,1,z
-1.4420574,-0.805589,1,;
-1.1213446,-0.59070474,1,4
0.96959186,-0.23346248,1,U
0.753988,-0.2593408,1,7
-1.7050704,0.17477202,1,8
1.4245275,1.4038235,1,$
-1.9213574,-0.42976782,1,:
-0.9487103,-0.6955557,1,)
-1.2552009,-0.95085406,1,(
-0.122998744,-0.3316947,1,Y
0.0,0.0,1,~
1.3534365,1.472484,2, 
1.8802367,-0.5559311,2,e
0.56360066,-1.6728162,2,t
1.4022166,0.09179689,2,a
-0.50642157,1.2877388,2,o
0.47938943,-0.37334934,2,n
1.0196986,0.43516433,2,i
-0.0069776746,-0.16307715,2,r
0.9551672,-1.084209,2,s
-1.4369115,0.8357727,2,h
-1.3004789,0.8224572,2,l
0.33451614,-0.6499606,2,d
-0.43720722,0.12650643,2,c
0.85610104,0.5226623,2,u
-1.1428041,0.43602055,2,m
-0.3758699,-0.3268928,2,f
-0.19603278,-0.27027267,2,p
-0.10588148,-0.8392516,2,g
1.196625,-1.5621012,2,y
-0.44514892,-1.0571159,2,w
-1.2803835,0.7607907,2,b
-1.5914508,-1.211315,2,.
-1.451156,-0.32315406,2,","
-0.76296943,-0.066936575,2,v
0.40778375,-0.6732408,2,k
1.5879827,-0.7018433,2,'
1.0075994,-1.7215946,2,T
-0.48646984,0.6813465,2,-
0.9264517,-1.021361,2,S
0.059829094,-0.13160822,2,M
-1.039294,1.2402033,2,`
0.33238423,-0.6827021,2,C
1.4902604,0.4815127,2,A
-0.5219028,-1.9307039,2,1
-1.9503313,0.41795993,2,0
0.11762914,-0.11568997,2,B
-1.0873399,0.46354654,2,H
-0.086715825,-0.36832905,2,P
1.9841495,0.25129706,2,x
0.9356821,0.17173003,2,I
0.72042394,-0.88369495,2,W
0.15320706,-0.42338964,2,D
0.54619503,-0.70949554,2,R
-0.2621126,-0.16570126,2,F
0.46244568,-0.6727331,2,L
0.039551087,-0.30466446,2,G
0.22581102,-0.22615069,2,J
-1.9908402,0.19119506,2,2
-0.93364453,0.44790813,2,N
-1.9479057,0.24872474,2,5
-0.52112097,0.4464467,2,j
-0.30182058,0.93135387,2,9
1.9461769,0.46086335,2,E
1.5010277,-0.35309607,2,O
-0.77899903,0.58596337,2,q
0.014917749,-0.2676662,2,K
-0.54796153,-1.6453322,2,3
-0.5241129,-1.7775811,2,6
0.4446826,-1.4053055,2,z
-1.2003057,-0.8549093,2,;
-0.5475225,-1.5636275,2,4
0.7027946,-0.14846691,2,U
0.66462386,-0.44399452,2,7
-1.8912859,0.21232992,2,8
1.6623291,1.1120528,2,$
-1.804495,-0.5788464,2,:
-1.1846068,-0.6918061,2,)
-1.3795394,-0.89631325,2,(
-0.3920356,-0.8849267,2,Y
0.0,0.0,2,~
1.2889447,1.529255,3, 
1.9099265,-0.54533887,3,e
0.5625531,-1.7365367,3,t
1.4079425,0.08277681,3,a
-0.6650024,1.2914101,3,o
0.37513497,-0.40163565,3,n
0.9641058,0.3603332,3,i
-0.13794583,-0.14102933,3,r
0.89388806,-1.1782452,3,s
-1.4783603,0.8284512,3,h
-1.2908312,0.8448343,3,l
0.14625265,-0.61776775,3,d
-0.519169,0.11335971,3,c
1.092115,0.36794385,3,u
-1.2321968,0.38808444,3,m
-0.4465237,-0.43542102,3,f
-0.2416185,-0.35025302,3,p
-0.07431258,-0.87597966,3,g
1.1439244,-1.6405599,3,y
-0.3938356,-1.1691719,3,w
-1.2978935,0.8198498,3,b
-1.5387253,-1.2776244,3,.
-1.6647829,-0.24516246,3,","
-0.99231154,0.19976594,3,v
0.40540287,-0.75252324,3,k
