dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,epoch,character
0.22929381,0.19410056,0.82955,-0.08163448,0.07924884,-0.7078215,-0.3718481,-0.12765618,-0.020389693,0.5669865,0.47666937,0.041370317,-0.0469547,0.08988672,-0.08259396,1.0385497,0.39721468,-0.22416267,-0.83489406,-0.038609784,0, 
-1.0480691,0.047521546,0.40944394,0.028405005,-0.041502606,0.33489347,0.43527392,-0.21682785,0.3359514,0.45301592,0.108083144,0.7717898,0.5588537,0.736147,0.23512283,-0.28135678,0.03810805,0.16456349,0.644367,-0.15047517,0,e
-0.11136344,0.2568116,-1.1266198,0.17210236,-0.41828778,-0.30560523,-0.20661272,0.1896192,0.0291312,-0.49809957,0.42906508,-0.40359917,0.25619128,-0.71155167,-0.47012305,-0.34723788,0.24582046,-0.63040274,0.422495,-0.36047643,0,t
0.17345499,0.6611135,0.46676412,0.3982405,0.14881821,-0.033608645,0.06404663,-0.5678872,-0.43272284,0.48427165,0.5305288,-0.11245542,0.0028819472,0.10536724,0.4315089,-0.18748237,0.7691106,1.0640355,0.35091165,-0.10642579,0,a
-0.11801432,-0.057022184,0.011412393,0.10213449,0.18845876,-0.49709672,0.042663958,0.7323807,0.93565434,-0.31009063,-0.11223567,-1.0542003,0.15455854,-0.53227526,-0.56754446,0.41946688,-0.3122544,0.1609546,-0.081609875,0.34721926,0,o
0.43884766,0.08814364,0.2758949,0.14355345,0.68073356,0.6361933,0.45810115,-0.36466923,-0.50971115,-0.14834745,-0.34488222,0.20946214,-0.15812133,-0.5433941,-0.16287896,-0.88804936,0.8832811,-0.117661186,0.049565196,-0.3396752,0,n
0.0017924131,-0.08288673,-0.1269049,-0.560722,-0.16050541,0.521309,-0.5490949,-0.10709954,0.10206898,0.24337691,0.74585223,-1.1321862,0.015492355,-0.36301187,-0.16065238,-0.71516603,0.1303076,0.5936182,-0.266708,0.185836,0,i
-0.7747754,-0.21437715,0.39488688,-0.41906685,0.8323128,-0.043864004,-0.59098506,0.04442696,-0.057417568,0.30474406,-0.34296116,-0.008688549,-0.5449367,-0.6412692,-0.04958528,0.53632677,0.030536592,-0.7371581,0.39303607,-0.25562355,0,r
-0.31333116,0.85878366,0.08944982,-0.5065508,0.04917428,-0.67223364,0.45090547,-0.065032735,-0.28808612,-0.028812423,-0.007411369,0.16688317,-0.03469355,-0.6472268,0.35783973,-0.76326877,0.50678575,0.60747576,-0.42434093,-0.43528184,0,s
-0.26611188,0.5413319,-0.02694776,-0.67053616,-0.07092312,-0.23630168,-0.34647036,0.15386462,0.15900224,-0.42345795,-0.43519643,0.087906234,-0.76480365,-0.12031615,-1.1020057,-0.22064309,0.39833936,-0.14444648,0.44329116,0.5839053,0,h
0.75465024,0.47101897,-0.31809655,-0.12718214,0.23067768,-1.0799059,-0.96092045,-0.20076026,0.31945518,-0.096734606,-0.13014713,0.1794376,0.24239917,-0.23236135,0.25581697,0.4179914,0.30426064,-0.01109651,0.35925972,0.41591212,0,l
-0.27886474,-0.83178115,0.19748092,0.086173825,0.51348066,0.51826274,0.07365869,0.34923592,-0.48569682,0.7189855,0.37373304,-0.60448545,0.52122587,0.18327098,0.5018395,-0.5464265,-0.12238181,-0.09184788,-0.45355955,-0.42609796,0,d
-0.44192764,-0.21809237,-0.18172845,-0.21368158,0.6049503,-0.07956597,-0.582897,0.10174094,0.41835892,-0.7314599,0.50151235,-0.74524903,0.1543166,-0.06832272,0.3784493,-0.81092787,0.76009464,-0.13834669,0.10097968,0.051728897,0,c
-0.42341572,0.40040582,0.10186724,-0.18299761,0.81145924,0.49352285,0.61458844,-0.5713805,0.2821732,-0.11442438,-0.5976867,-0.14741006,0.1723465,0.63686913,0.20189953,-0.7389199,-0.40430418,-0.3188495,-0.08596891,-0.4940046,0,u
0.45015892,0.45500106,0.5034194,-0.03530217,-0.0066937665,0.3731898,-0.26672632,-0.09750371,0.28921658,0.13439986,0.27535385,-0.29178318,-0.09451885,0.6328123,-1.2916087,-0.28608793,-0.0016606706,0.6303288,-0.27278745,0.470964,0,m
-0.80475813,0.27064466,-0.3291255,-0.56249577,-0.06797611,0.19848038,0.042109407,0.28000844,-0.34779266,0.18625072,-0.19404401,0.5612063,-1.0468152,0.102780014,0.06580555,-0.1827003,0.77952176,0.64687014,0.06300157,0.21859506,0,f
0.23686883,0.12810744,-0.27323565,-0.21908525,0.11581427,0.6018555,-0.16655615,-0.15224521,-0.010532843,0.15702355,0.28432596,-0.45717588,-0.3804045,-0.23338392,0.06823323,0.7360953,-0.6965402,0.9010756,-0.9834852,0.23157713,0,p
0.41965792,-0.34115398,-0.15026362,0.20716745,-0.10966717,-0.03500685,-0.19212693,-0.3505434,-0.3304208,-0.1799291,0.34794667,0.457162,0.14213525,-0.38982332,0.20807908,0.4097569,-1.4867971,-0.49661765,0.39562616,0.01624606,0,g
-0.70033115,0.07617671,0.16479255,0.25743043,-0.14558102,-0.17986442,-0.16912393,0.14037459,0.3499686,-0.11814227,-0.5025497,-0.09969049,-0.75598913,-0.05465108,-0.8670468,-1.0061213,-0.6771501,-0.17352043,0.23415089,-0.1658282,0,y
0.44718263,0.63795,0.59279186,-0.3257979,-0.8193341,-0.28925744,-0.56364673,-0.0038099664,-0.08939381,0.7144069,-0.42934194,0.48623452,0.3784196,-0.03105385,-0.1415153,0.39969483,-0.65613943,0.039447248,-0.072619855,-0.40297207,0,w
0.34451538,0.6278563,0.109144196,-0.25717902,0.6216522,-0.7888436,0.088044114,0.17632516,-0.28081527,0.7203201,-0.46839687,-0.6114711,0.2088235,0.13753958,0.40318626,-0.9244314,0.08301438,0.23754053,-0.072796054,-0.14899743,0,b
0.16195738,-0.3700696,0.9140517,-0.72055894,0.10811264,0.14958148,-0.30100563,0.22771105,0.6590777,0.1515185,0.69714886,-0.48964626,0.12084629,0.29344833,-0.7923303,0.21386223,0.34100857,0.064362094,0.07501656,-0.47137603,0,.
-0.008845667,1.0052074,0.34339777,0.91752815,0.010096579,-0.14367782,-0.42908156,-0.29052404,-0.6505269,0.56580806,-0.53296185,0.15533474,0.15113585,-0.6605131,0.056835935,0.15697172,0.18994384,0.34442496,-0.21733662,-0.0021676796,0,","
-0.1295225,-0.17310539,-0.090198144,0.5087019,-0.43369722,0.46593586,-0.4119597,0.26560974,-0.26606774,-0.2913841,0.84781605,0.16622096,-0.17378446,0.30310413,-0.0005007559,-1.121273,0.3006945,0.19227779,0.0016644056,-0.7950223,0,v
-0.419456,-0.7701615,-0.5151844,-0.10843699,-0.059090856,-0.66913927,-0.024363924,-0.40168312,0.14188217,0.46948722,-0.74947184,-0.7719691,-0.004600068,0.27164575,-0.31176996,-0.36863732,-0.064705126,-0.1409208,0.6280867,-0.46574086,0,k
-0.049410887,-0.1701732,-0.2553049,-0.25927064,0.83709145,-0.5875635,-0.4701947,0.50426555,-0.72323817,-0.18386652,0.14611009,0.17180586,0.18709396,0.15063758,-0.36658034,0.60397077,-0.60710686,0.77888197,-0.08415177,-0.4098247,0,'
-0.48006058,-0.7875806,0.1534251,0.2789239,0.046839185,-0.51365614,-0.31416336,-1.105471,-0.06614226,0.21193719,-0.31015676,-0.42385614,0.672565,-0.5309114,-0.1261478,-0.4518656,0.09783805,0.10420692,0.36783776,-0.16103855,0,T
0.35524052,0.1643148,0.46884552,-0.2319901,-1.0543238,-0.13549602,-0.43784732,0.37700135,-0.16262665,0.20341125,-0.35491112,-0.66057163,-0.30410478,-0.16359912,-0.22590986,-0.047316756,-0.24374396,-0.1576186,0.28616318,-1.0679737,0,-
-0.7858085,-0.7665061,0.017307712,-0.32368448,-0.15628722,0.77314806,0.32777026,0.33484456,-0.014335349,0.21359019,0.22865118,0.70210016,0.10950599,-0.29677245,-0.27553043,0.36390182,0.032043166,0.29929575,-0.35829607,0.8542389,0,S
0.18423444,-0.21054843,-0.39504275,-0.69405025,0.6693968,0.47614336,0.831667,-0.25655308,-0.24657318,0.27250803,0.29857823,-0.36269268,-0.1622514,0.7172618,0.7665029,-0.13085073,0.29530072,0.097385205,0.44260487,0.24060503,0,M
-0.5998931,-0.5131883,0.15486884,-0.09087935,-1.1534896,-0.42909962,-0.27863923,0.31593186,0.2247256,0.12749662,0.017053243,0.19751872,-0.14501594,-0.54132426,0.06925201,0.5455579,-0.2358059,-0.26421794,-0.8530777,0.27693868,0,`
0.18684562,-0.11214307,0.9213842,-0.042992655,0.3759108,0.4366038,0.7448707,-0.29606473,-0.7384789,-0.1439939,0.4605361,0.46078455,-0.123940565,-0.5448202,0.0138882045,0.7196878,-0.040968988,-0.5327684,-0.12479034,-0.07326577,0,C
0.20165959,-0.9174811,-0.2095832,0.017244887,0.5472865,-0.016978804,0.29263374,-0.22672154,1.08727,-0.4463892,-0.0984688,-0.25060886,0.67061514,0.059035774,-0.49065557,-0.1970411,0.18398108,-0.056099158,0.57822925,-0.28008482,0,A
0.6344925,0.39422858,0.91285044,-0.895277,0.38548094,-0.27512795,-0.44985697,0.6180578,0.05004845,0.22914161,-0.55173284,-0.0037655837,-0.292757,0.3970814,-0.17804869,0.11466688,-0.34150994,-0.47709954,0.016233537,0.07967451,0,1
0.03902355,0.5904189,0.35861638,0.108189434,0.061381593,0.42345914,-0.45728925,-0.33807835,0.52187866,-0.84052134,-0.5214017,0.18667588,0.37591636,-0.7049824,-0.21237484,-0.44499654,0.6421019,-0.14215055,0.12132203,0.6235994,0,0
0.3506172,-0.13050537,-0.21521851,0.27995482,0.19840425,0.30754703,0.20464972,0.77126896,0.11344999,-0.15286806,-1.0085473,0.3733784,0.35834363,-0.23634064,0.8084099,-0.4701666,0.19885147,0.431499,0.26438487,0.6460292,0,B
0.4514384,-0.6165528,-0.19847558,-0.10780094,0.13926362,-0.14946905,0.7071339,-0.13632777,0.0039643813,0.41271132,-0.48109147,-0.6768301,-1.0360726,-0.048474908,-0.3578491,0.6979025,0.2547743,0.044298027,-0.09168766,-0.42261046,0,H
0.484952,0.3055227,-0.25295502,0.4889377,0.5693518,-0.67455524,-0.9655401,-0.09956896,-0.25967014,0.28604057,-0.0669917,0.27628216,0.09718815,0.6921872,0.026697833,0.32544842,-0.28660464,-0.35284507,-0.13964118,-0.7717868,0,P
0.3594829,-0.057807315,0.632547,0.297569,-0.110829316,0.3040617,-0.6712361,-0.15483953,0.6272689,-0.11500375,-0.19337323,-0.8527822,-0.54640824,0.3044891,0.47779322,-0.1881247,-0.2910303,-0.17992312,0.9210236,-0.088693924,0,x
