dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,epoch,character
0.17250219,0.14602561,0.6240866,-0.061415207,0.059620444,-0.53250784,-0.27974856,-0.09603822,-0.015339562,0.42655495,0.35860765,0.031123694,-0.03532493,0.06762352,-0.062137045,0.7813211,0.2988323,-0.16864194,-0.628107,-0.029046891,-0.99206567,0.044982236,0.38756537,0.026887186,-0.03928492,0.31699845,0.4120151,-0.2052417,0.31799984,0.42880905,0, 
0.086693466,0.6190524,0.44825637,0.59046334,0.18859197,-0.2256762,0.030566458,0.13199633,0.5168466,-0.120696105,-0.09103793,0.2099396,-0.92099464,0.14069107,-0.34194395,-0.24982767,-0.16890277,0.15501083,0.023814315,-0.40718886,0.3507542,-0.3299362,0.2094325,-0.58168274,-0.3843185,-0.28386173,0.20095451,-0.5153447,0.3453833,-0.29468402,0,e
0.14124997,0.5383659,0.380101,0.32430002,0.12118745,-0.027368598,0.052155226,-0.46244878,-0.3523801,0.39435795,0.43202665,-0.091576055,0.002346862,0.085803926,0.35139155,-0.15267292,0.6263115,0.8664783,0.2857586,-0.086665936,-0.10153964,-0.049061943,0.009819234,0.08787661,0.1621501,-0.4277025,0.036708113,0.6301411,0.8050379,-0.26680228,0,t
-0.09589051,-0.9006744,0.13204978,-0.4547586,-0.4848915,0.35837886,-0.26678,0.13751437,-0.06972482,0.29665285,0.3405559,0.06840148,0.21410081,0.11140078,0.52826494,0.49370065,0.35549706,-0.28299174,-0.3955476,-0.11512103,-0.26763657,0.16254745,-0.1227058,-0.42168635,-0.12639783,-0.6891468,0.6854465,-0.0913078,0.038463734,-0.2635958,0,a
0.0016057788,-0.07425618,-0.113690965,-0.502337,-0.14379284,0.4670279,-0.4919206,-0.09594784,0.091441095,0.21803537,0.6681906,-1.0142976,0.013879219,-0.32521337,-0.14392447,-0.6406996,0.11673936,0.5318079,-0.2389371,0.16648589,-0.4728613,-0.13083875,0.24100755,-0.25576505,0.50797755,-0.026771098,-0.36069033,0.027114682,-0.035043117,0.18599156,0,o
-0.20271243,-0.0051354994,-0.3220932,-0.379032,-0.029308138,0.31700414,0.018049119,-0.43570858,0.23230997,-0.1510902,-0.2864521,0.78511316,0.08177639,-0.46309644,0.044955876,-0.6145662,0.41222465,-0.05945392,-0.26337272,-0.026340758,-0.0067755864,0.15256713,-0.03171737,-0.5917046,0.32714254,-0.69779193,0.46331123,0.5553636,-0.38793895,-0.39794126,0,n
-0.1812815,0.36876768,-0.01835743,-0.45678458,-0.048314456,-0.16097412,-0.23602353,0.1048161,0.10831597,-0.28846925,-0.29646575,0.05988374,-0.52100176,-0.08196211,-0.7507115,-0.15030712,0.2713579,-0.09840024,0.30198008,0.39776966,0.6173613,0.38532937,-0.2602272,-0.104044676,0.18871191,-0.88344526,-0.7861061,-0.16423717,0.26133865,-0.079136275,0,i
-0.124506965,0.17166135,0.23189437,-0.22229156,0.24473068,0.39987698,0.29107496,-0.010615624,0.34369057,0.39788783,-0.2521673,-0.75214964,0.17857486,0.07792388,0.464322,0.46864626,0.06660689,0.31580144,-0.43919808,0.6501526,0.3379533,-0.54661435,0.4713257,0.16572532,0.45379534,-0.49411374,-0.11066544,-0.08305472,-0.4101375,-0.385305,0,r
-0.37209356,-0.18362907,-0.15301144,-0.17991528,0.5093551,-0.066992834,-0.49078673,0.08566368,0.3522492,-0.61587346,0.42226258,-0.6274836,0.12993126,-0.057526257,0.31864613,-0.6827838,0.6399833,-0.11648493,0.08502271,0.043554615,-0.3166023,0.29939702,0.076169595,-0.13683353,0.6067556,0.36902377,0.45954862,-0.4272406,0.21099047,-0.08555899,0,s
-0.4721815,-0.116456166,0.13615634,0.50313616,0.15950367,-0.5837578,-0.31940636,-0.25189587,-0.06791673,-0.39027107,0.37684426,0.38089776,0.42143053,-0.029552717,-0.005603593,0.31241062,-0.2232862,-0.08162387,0.24211362,0.11251096,0.23050863,-0.2442622,-0.07912513,0.52975,-1.0812522,-0.2394945,-0.0013902072,0.52767086,-0.2283602,0.39426094,0,h
